Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cyprus,CYP,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.9272774,406.2825326,1506.546871,980.8841245,2426.483032,2377.291696,4550.55474,17364.03092,6372.002876,
Czech Republic,CZE,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.5064677,470.0799002,834.6664878,1079.865539,1417.625471,2048.822219,11991.38925,25419.94205,42361.46436,
Germany,DEU,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049.317943,1471.903146,2194.90449,2601.183288,3352.786096,4297.925887,11624.9602,34181.27844,56391.56134,
Djibouti,DJI,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.760782577,7.028444113,1.151893252,4.52850866,8.901786589,10.94100283,11.83926157,22.2434771,37.54223501,
Dominica,DMA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.32625074,70.5059507,197.2803495,168.9760054,225.0826475,266.9176629,5357.117815,6969.128719,6631.762653,
Denmark,DNK,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588.050363,2368.158961,3064.433401,3458.456843,4349.802205,6004.944503,24041.33373,43757.82743,123073.5051,
Dominican Republic,DOM,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.86163638,13.75696637,24.06627146,26.87042009,34.23452103,46.39319644,93.28947638,98.1629545,121.6693257,
Algeria,DZA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361337399,0.490979024,1.230476649,1.782898916,2.414981911,3.826014507,7.619958115,63.32570155,67.60848243,
East Asia & Pacific (excluding high income),EAP,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.433933112,3.555492647,6.876285785,9.02175775,14.22596506,24.51223051,106.5478547,466.8929555,680.4448477,
Early-demographic dividend,EAR,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.115183414,10.0048907,17.51171157,21.04413872,25.79337823,33.62193881,126.8195751,501.3540612,623.2386487,
East Asia & Pacific,EAS,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.86470839,78.60059834,112.2545899,130.2035067,163.0198534,196.6258321,412.3588587,1237.779619,2000.494164,
Europe & Central Asia (excluding high income),ECA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.49570513,41.35546357,82.24965121,104.4524623,139.4984064,241.202303,1157.069054,3746.750555,5056.187294,
Europe & Central Asia,ECS,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.1011484,530.1475966,791.8101163,935.5293123,1175.922947,1609.588174,4421.049378,12173.06749,18856.9424,
Ecuador,ECU,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5921498,13.84161765,23.97554314,30.68602883,41.68798605,81.35938643,120.5497627,209.9448442,265.6231077,
"Egypt, Arab Rep.",EGY,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.477005086,2.981216561,5.056568772,6.368444009,8.017724901,10.54709148,14.69606173,36.18733063,35.11353147,
Euro area,EMU,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.0315198,782.2887105,1192.369589,1428.149962,1853.585079,2493.474325,6792.82454,19626.32017,30494.55001,
